year,name,college,height_in,weight_lbs,hand_size_in,arm_length_in,40_yard,bench_press,vert_leap_in,broad_jump_in,shuttle,3cone,60yd_shuttle,bodytype,pos,seasons,wAV,games,round,overall,pick,Fitzgerald-Spielberger,Johnson,Schuckers,ras,tsa
1997,Kenny Wheaton,Oregon,69.6,189,8.25,30.13,4.76,8,32,108,4.23,7.45,11.5,SKILL,DB,3,2,22,3,94,30,698,124,312,1.733,0.532
1997,Kim Herring,Penn State,71.4,199,9.63,31.75,4.6,11,32,116,4.11,7.12,,SKILL,DB,8,34,98,2,58,26,942,320,489,3.871,1.973
1997,Kinnon Tatum,Notre Dame,71.9,222,10,33.25,4.67,28,39,127,4.31,7.91,11.6,STRONG,LB,2,2,31,3,87,23,737,155,342,6.064,4.177
1997,Kris Mangum,Mississippi,76.5,249,9.5,32.38,4.92,27,32,112,4.29,7.63,11.86,STRONG,TE,10,11,126,7,228,5.091,3.841
1997,Leland Taylor,Louisville,75,303,10,33.5,5.36,18,30,96,4.9,8.54,,BIG,DL,1,0,1,7,238,2.383,1.352
1997,Marc Edwards,Notre Dame,72,236,9.63,31,4.72,25,34,106,4.07,7.48,11.49,STRONG,RB,9,14,132,2,55,23,969,350,506,5.243,3.268
1997,Marcellus Wiley,Columbia (NY),76.8,271,9.63,34.5,4.91,28,35.5,122,4.5,7.48,,BIG,DL,10,42,147,2,52,20,998,380,525,7.454,4.662
1997,Marcus Wimberly,Miami (FL),71.5,204,9.63,31.88,4.6,9,31.5,114,4.47,7.62,11.87,SKILL,DB,1,0,6,5,133,5,522,40,200,2.634,1.331
1997,Marvin Thomas,Memphis,76,265,9.5,34.63,4.87,20,30,109,4.6,8.3,,BIG,DL,2,0,4,7,233,4.753,2.482
1997,Matt Finkes,Ohio State,74.9,272,10.5,34.13,4.94,15,28.5,99,4.29,7.66,,BIG,DL,1,1,8,6,189,29,344,16,137,4.293,1.554
1997,Matt Keneley,Southern California,76.4,286,9.13,33.63,5.38,18,27.5,103,4.69,7.98,,BIG,DL,3,0,7,7,208,16,295,8,132,2.975,1.683
1997,Matt Russell,Colorado,73.5,245,9.5,31.5,4.91,13,28,104,4.19,7.39,11.56,STRONG,LB,1,2,14,4,130,2,533,42,206,2.775,1.305
1997,Michael Hamilton,North Carolina A&T,73.8,243,10,34.5,4.72,18,32,112,4.82,8.32,12.53,STRONG,LB,4,3,37,3,74,10,819,220,403,3.586,1.95
1997,Mike Minter,Nebraska,70.1,188,9,31.38,4.5,11,36,122,4,7.23,10.97,SKILL,DB,10,52,148,2,56,24,960,340,500,4.828,2.43
1997,Ndukwe Kalu,Rice (TX),75.8,246,10.63,34.13,4.92,23,39,121,4.13,7.55,,BIG,DL,12,22,136,5,152,24,454,31,162,6.571,3.754
1997,O J Santiago,Kent State (OH),78.9,267,10.25,34.75,4.72,22,38.5,125,4.38,7.55,11.91,STRONG,TE,7,10,78,3,70,6,847,240,422,6.590,5.031
1997,Pete Monty,Wisconsin,73.9,253,9.25,32,4.84,26,32.5,109,4.29,7.41,11.85,STRONG,LB,5,5,52,4,103,7,651,88,279,5.044,3.632
1997,Pratt Lyons,Troy (AL),76.6,278,10.5,35.63,5.07,12,29,111,4.73,7.9,,BIG,DL,2,8,32,4,107,11,632,80,265,4.164,2.189
1997,Raleigh Roundtree,South Carolina State,76.6,295,9.63,33.88,5.4,14,24,87,4.93,8.48,,BIG,OL,6,21,72,4,109,13,623,76,259,1.658,0.708
1997,Raymond Austin,Tennessee,70.6,190,10.25,32,4.8,12,32.5,111,4.05,7.14,11.23,SKILL,DB,3,3,43,5,145,17,478,34,175,2.993,1.394
1997,Renaldo Wynn,Notre Dame,74.6,288,10.5,33.88,4.83,28,33,115,4.29,7.72,,BIG,DL,13,55,182,1,21,21,1457,800,781,7.016,4.212
1997,Rick Terry,North Carolina,75.9,306,9.5,34.5,5.09,22,26,104,4.67,8.16,,BIG,DL,3,4,29,2,31,31,1260,600,687,4.285,2.41
1997,Roderick Manuel,Oklahoma,77.6,281,9.75,35,5.09,7,28.5,102,4.59,8.04,,BIG,DL,2,0,3,6,199,7,318,12,135,3.956,1.942
